"rebalance_date","IC"
2000-01-31,0.0670229553294612
2000-02-29,-0.176753593670401
2000-03-31,-0.00954360577251093
2000-04-28,0.0125841236622242
2000-05-31,0.0823900361922471
2000-06-30,-0.107707952877296
2000-07-31,-0.121092190377026
2000-08-31,-0.182059464021818
2000-09-29,-0.300117253223694
2000-10-31,-0.305796811762228
2000-11-30,-0.32392088360923
2000-12-29,-0.333789637969377
2001-01-31,-0.313166962475587
2001-02-28,-0.165843552403307
2001-03-30,-0.0451526562536596
2001-04-30,-0.171798694365883
2001-05-31,-0.245560834015244
2001-06-29,-0.194575388694948
2001-07-31,-0.0902576721916855
2001-08-31,0.156860177302554
2001-09-28,0.186412448166945
2001-10-31,-0.0294708513494581
2001-11-30,-0.277573664274382
2001-12-31,-0.244577996647455
2002-01-31,-0.269254827237437
2002-02-28,-0.115021673004866
2002-03-28,0.0436999762926442
2002-04-30,0.0792080016675597
2002-05-31,0.0898628517536522
2002-06-28,0.146351602162698
2002-07-31,0.0710801868341304
2002-08-30,-0.0310792327280614
2002-09-30,-0.0988831315480371
2002-10-31,-0.142453220363766
2002-11-29,0.0422510684594707
2002-12-31,0.117511162534892
2003-01-31,0.0237461743868409
2003-02-28,-0.162075094112543
2003-03-31,-0.193214231708205
2003-04-30,-0.095317210258746
2003-05-30,0.0249608307470444
2003-06-30,-0.0241972885394503
2003-07-31,-0.0701767722268685
2003-08-29,0.000689561352086968
2003-09-30,-0.0213654663321224
2003-10-31,-0.105275705447386
2003-11-28,-0.173605625167074
2003-12-31,-0.0320247361174276
2004-01-30,0.0588289581064368
2004-02-27,0.134083543059606
2004-03-31,0.0818268002138743
2004-04-30,-0.0473965805684039
2004-05-28,-0.152255959144585
2004-06-30,-0.141060119035219
2004-07-30,0.0226586716807598
2004-08-31,0.0184108451247234
2004-09-30,-0.0260212178233503
2004-10-29,-0.114479205808429
2004-11-30,-0.00955975241645428
2004-12-31,-0.0205703626152492
2005-01-31,-0.00654278512722913
2005-02-28,0.0494205328282099
2005-03-31,-0.135213015859221
2005-04-29,-0.0411143539546139
2005-05-31,-0.0567586605324627
2005-06-30,0.00193096514488024
2005-07-29,0.0515305567112536
2005-08-31,0.0804098723036949
2005-09-30,0.0426100378731541
2005-10-31,0.0655075214338856
2005-11-30,0.0910731569959728
2005-12-30,0.0520107665260458
2006-01-31,-0.0924701275480557
2006-02-28,-0.137485252006376
2006-03-31,-0.119651178456747
2006-04-28,-0.0261788254507788
2006-05-31,-0.0395553555141069
2006-06-30,0.030525792280764
2006-07-31,0.0473429114955445
2006-08-31,-0.0280209311468729
2006-09-29,-0.0927388215381886
2006-10-31,-0.102885532847468
2006-11-30,-0.0110827914017436
2006-12-29,0.0405941205460988
2007-01-31,0.0119698093256745
2007-02-28,-0.0748578452743154
2007-03-30,-0.0846458247813636
2007-04-30,0.081313465270944
2007-05-31,0.20067476595571
2007-06-29,0.268013974103647
2007-07-31,0.197814763634127
2007-08-31,0.168271067193636
2007-09-28,0.12388538374547
2007-10-31,-0.0368551275982365
2007-11-30,-0.0197232403220833
2007-12-31,0.00126382994855682
2008-01-31,0.0893712712017302
2008-02-29,0.0794757415510463
2008-03-31,0.126169266148088
2008-04-30,0.154148993967749
2008-05-30,0.0458885859140948
2008-06-30,-0.10698999926732
2008-07-31,0.0591908549265907
2008-08-29,0.152791663041987
2008-09-30,0.140580920226736
2008-10-31,0.0903806152257169
2008-11-28,0.0869487554683402
2008-12-31,0.0538437322448282
2009-01-30,-0.113745907602257
2009-02-27,-0.321023596064675
2009-03-31,-0.203719322377586
2009-04-30,-0.0771203798398769
2009-05-29,-0.142105172219625
2009-06-30,-0.176523104851032
2009-07-31,-0.011883170983199
2009-08-31,0.105134278886989
2009-09-30,0.0549770536235034
2009-10-30,-0.144552263364314
2009-11-30,-0.099361410334033
2009-12-31,-0.0691627572758475
2010-01-29,-0.0317442812880828
2010-02-26,0.0127119030716143
2010-03-31,0.0951874331279765
2010-04-30,0.108894848908235
2010-05-28,0.0414395018468738
2010-06-30,0.106213978873445
2010-07-30,0.141268874100407
2010-08-31,0.175993899157084
2010-09-30,0.12217075384152
2010-10-29,0.020939397585181
2010-11-30,-0.0399052099317157
2010-12-31,0.0135159175002488
2011-01-31,0.0517020226988447
2011-02-28,-0.00192378286370848
2011-03-31,0.0167876465105626
2011-04-29,0.078300667024245
2011-05-31,0.0261520592744325
2011-06-30,-0.0424644714870427
2011-07-29,-0.00455067772775761
2011-08-31,0.041457746155807
2011-09-30,-0.0781469550635797
2011-10-31,-0.0660932124636438
2011-11-30,-0.119467203474309
2011-12-30,-0.0485415474663862
2012-01-31,0.123114490918085
2012-02-29,0.249883541258849
2012-03-30,0.227722043342265
2012-04-30,0.159537154139836
2012-05-31,-0.0102106877321345
2012-06-29,-0.0423410546465816
2012-07-31,-0.170423571237162
2012-08-31,-0.0286487581421048
2012-09-28,-0.0553607103206897
2012-10-31,0.00593981377169155
2012-11-30,-0.130252614883767
2012-12-31,-0.114696877751171
2013-01-31,-0.0354104413280492
2013-02-28,-0.172278817594882
2013-03-28,-0.129189337956316
2013-04-30,-0.125705567103586
2013-05-31,-0.0253872729507523
2013-06-28,-0.0209988710795186
2013-07-31,-0.0604974992880799
2013-08-30,-0.141887857518643
2013-09-30,-0.123436749842309
2013-10-31,0.0140396625857761
2013-11-29,0.152252158331775
2013-12-31,-0.00499173200955086
2014-01-31,-0.183622391560299
2014-02-28,-0.152844725106946
2014-03-31,-0.0291346288735542
2014-04-30,0.0140629383250759
2014-05-30,-0.0166063509783593
